NAME1,NAME2,TYPE,ID
TADBIR BROKERAGE COMPANY,TADBIRGARAN-E FARDA BROKERAGE COMPANY,C,16022
ZARIN RAFSANJAN CEMENT COMPANY,RAFSANJAN CEMENT COMPANY,C,16023
ZARIN RAFSANJAN CEMENT COMPANY,ZARRIN RAFSANJAN CEMENT COMPANY,C,16023
RISHMAK PRODUCTIVE & EXPORTS COMPANY,RISHMAK COMPANY,C,16024
RISHMAK PRODUCTIVE & EXPORTS COMPANY,SHERKAT-E TOLID VA SADERAT-E RISHMAK,C,16024
RISHMAK PRODUCTIVE & EXPORTS COMPANY,RISHMAK PRODUCTION AND EXPORT COMPANY,C,16024
RISHMAK PRODUCTIVE & EXPORTS COMPANY,RISHMAK EXPORT AND MANUFACTURING P.J.S.,C,16024
RISHMAK PRODUCTIVE & EXPORTS COMPANY,RISHMAK PRODUCTIVE AND EXPORTS COMPANY,C,16024
OMID REY CIVIL & CONSTRUCTION COMPANY,OMID DEVELOPMENT AND CONSTRUCTION,C,16025
OMID REY CIVIL & CONSTRUCTION COMPANY,OMID REY RENOVATION AND DEVELOPMENT CO.,C,16025
OMID REY CIVIL & CONSTRUCTION COMPANY,OMID REY CIVIL AND CONSTRUCTION COMPANY,C,16025
BEHSAZ KASHANE TEHRAN CONSTRUCTION CO.,BEHSAZ KASHANEH CO.,C,16026
ROYAL ARYA CO.,ARIA ROYAL CONSTRUCTION COMPANY,C,16027
GHAED BASSIR PETROCHEMICAL PRODUCTS COMPANY,GHAED BASSIR,C,16029
PERSIA OIL & GAS INDUSTRY DEVELOPMENT CO.,TOSE SANAT-E NAFT VA GAS PERSIA,C,16030
PERSIA OIL & GAS INDUSTRY DEVELOPMENT CO.,PERSIA OIL AND GAS INDUSTRY DEVELOPMENT CO.,C,16030
PARS OIL CO.,PARS OIL,C,16031
PARS OIL CO.,SHERKAT NAFT PARS SAHAMI AAM,C,16031
SADAF PETROCHEMICAL ASSALUYEH COMPANY,SADAF ASALUYEH CO.,C,16035
SADAF PETROCHEMICAL ASSALUYEH COMPANY,SADAF CHEMICAL ASALUYEH COMPANY,C,16035
SADAF PETROCHEMICAL ASSALUYEH COMPANY,SADAF PETROCHEMICAL ASSALUYEH INVESTMENT SERVICE,C,16035
ONE CLASS PROPERTIES (PTY) LTD.,ONE CLASS INCORPORATED,C,16037
ONE VISION INVESTMENTS 5 (PTY) LTD.,ONE VISION 5,C,16038
PARS MCS,PARS MCS COMPANY,C,16039
PARS MCS,PARS MCS CO.,C,16039
REY NIRU ENGINEERING COMPANY,REY NIROO ENGINEERING COMPANY,C,16041
DAEDONG CREDIT BANK,DAE-DONG CREDIT BANK,C,16085
DAEDONG CREDIT BANK,TAEDONG CREDIT BANK,C,16085
KASB INTERNATIONAL LLC,FIRST FURAT TRADING LLC,C,16135
"PALMA DEL BAJO AGUAN, S.A.",PALBASA,C,16179
"PALMA DEL BAJO AGUAN, S.A.",PALMAS DEL BAJO AGUAN,C,16179
"INMOBILIARIA RIVERA MARADIAGA, S.A. DE C.V.",INRIMAR,C,16181
JAMIA TALEEM-UL-QURAN-WAL-HADITH MADRASSA,GANJ MADRASSA,C,16223
JAMIA TALEEM-UL-QURAN-WAL-HADITH MADRASSA,JAMIA MADRASSA DUR UL KORAN WASUNA,C,16223
JAMIA TALEEM-UL-QURAN-WAL-HADITH MADRASSA,MADRASA TALEEMUL QURAN WAL HADITH,C,16223
JAMIA TALEEM-UL-QURAN-WAL-HADITH MADRASSA,MADRASA TALEEMUL QURAN WAL SUNNAH,C,16223
JAMIA TALEEM-UL-QURAN-WAL-HADITH MADRASSA,TALALIM QURAN MADRASSA,C,16223
JAMIA TALEEM-UL-QURAN-WAL-HADITH MADRASSA,TALEEM UL-QURAN MADRASSA,C,16223
JAMIA TALEEM-UL-QURAN-WAL-HADITH MADRASSA,MAWIYA MADRASSA,C,16223
JAMIA TALEEM-UL-QURAN-WAL-HADITH MADRASSA,TASIN AL-QURAN ABU HAMZA,C,16223
JAMIA TALEEM-UL-QURAN-WAL-HADITH MADRASSA,MOW-YA MADRASSA,C,16223
JAMIA TALEEM-UL-QURAN-WAL-HADITH MADRASSA,GANJOO MADRASSA,C,16223
MUHAMMAD JAMAL NETWORK,JAMAL NETWORK,C,16278
MUHAMMAD JAMAL NETWORK,MUHAMMAD JAMAL GROUP,C,16278
MUHAMMAD JAMAL NETWORK,ABU AHMED GROUP,C,16278
MUHAMMAD JAMAL NETWORK,AL-QA'IDA IN EGYPT,C,16278
CEC LIMITED,CEC LTD.,C,16319
CEC LIMITED,CHINA ENRICHING CHEMISTRY,C,16319
CEC LIMITED,"CEC CHEMICAL CO., LTD.",C,16319
CEC LIMITED,SHANGHAI CANHE PHARMTECH CO LTD,C,16319
CEC LIMITED,IAN LIMITED,C,16319
CEC LIMITED,CEC PHARM CO LTD,C,16319
CEC LIMITED,CEC PHARMATECH LTD,C,16319
CEC LIMITED,"HANGZHOU HONGYAN TRADING CO., LTD",C,16319
BOKO HARAM,NIGERIAN TALIBAN,C,16363
BOKO HARAM,JAMA'ATU AHLUS-SUNNAH LIDDA'AWATI WAL JIHAD,C,16363
BOKO HARAM,JAMA'ATU AHLIS SUNNA LIDDA'AWATI WAL-JIHAD,C,16363
BOKO HARAM,PEOPLE COMMITTED TO THE PROPHET'S TEACHINGS FOR PROPAGATION AND JIHAD,C,16363
BOKO HARAM,SUNNI GROUP FOR PREACHING AND JIHAD,C,16363
ANSARU,JAMA'ATU ANSARUL MUSLIMINA FI BILADIS-SUDAN,C,16364
ANSARU,ANSARUL MUSLIMINA FI BILADIS SUDAN,C,16364
ANSARU,VANGUARDS FOR THE PROTECTION OF MUSLIMS IN BLACK AFRICA,C,16364
ANSARU,JAMA'ATU ANSARIL MUSLIMINA FI BILADIS SUDAN,C,16364
QODS AVIATION INDUSTRIES,QODS RESEARCH CENTER,C,16418
QODS AVIATION INDUSTRIES,GHODS AVIATION INDUSTRIES,C,16418
QODS AVIATION INDUSTRIES,LIGHT AIRPLANES DESIGN AND MANUFACTURING INDUSTRIES,C,16418
IRAN AVIATION INDUSTRIES ORGANIZATION,SAZMANE SANAYE HAVAI,C,16436
EYVAZ TECHNIC MANUFACTURING COMPANY,EYVAZ TECHNIC,C,16441
EYVAZ TECHNIC MANUFACTURING COMPANY,EYVAZ TECHNIC INDUSTRIAL COMPANY LTD.,C,16441
MARO SANAT COMPANY,MAROU SANAT ENGINEERING COMPANY,C,16443
MARO SANAT COMPANY,MOHANDESI TARH VA TOSEH MARO SANAT COMPANY,C,16443
MARO SANAT COMPANY,MARO SANAT DEVELOPMENT AND DESIGN ENGINEERING COMPANY,C,16443
MARO SANAT COMPANY,MARO SANAT ENGINEERING,C,16443
NAVID COMPOSITE MATERIAL COMPANY,NAVID COMPOSITE,C,16444
NEGIN PARTO KHAVAR,NEGIN PARTO KHAVAR CO. LTD.,C,16445
