NAME1,NAME2,TYPE,ID
AFRI BELG COMMERCIO E INDUSTRIA LDA,AFRI-BELG AGRICULTURE,C,12458
ELLISSA HOLDING,ELLISSA SAL (HOLDING),C,12464
AGROPHEN,AGRO-PHEN,C,12467
ELLISSA MEGASTORE,ELLISSA MEGA STORE,C,12471
SOCIETE ELLISSA GROUP CONGO,ELLISSA PARC CONGO,C,12475
SOCIETE ELLISSA GROUP CONGO,ELLISSA GROUP SA CONGO,C,12475
SOCIETE ELLISSA GROUP CONGO,ELLISSA GROUP CONGO,C,12475
PARS OIL AND GAS COMPANY,POGC,C,12476
BONYAD TAAVON SEPAH,BONYAD-E TA'AVON-E,C,12477
BONYAD TAAVON SEPAH,IRGC COOPERATIVE FOUNDATION,C,12477
BONYAD TAAVON SEPAH,SEPAH COOPERATIVE FOUNDATION,C,12477
ANSAR BANK,ANSAR FINANCE AND CREDIT FUND,C,12478
ANSAR BANK,ANSAR FINANCIAL AND CREDIT INSTITUTE,C,12478
ANSAR BANK,BANK-E ANSAR,C,12478
ANSAR BANK,BANK ANSAR,C,12478
MEHR BANK,MEHR INTEREST-FREE BANK,C,12481
MEHR BANK,MEHR FINANCE AND CREDIT INSTITUTE,C,12481
M. BABAIE INDUSTRIES,SHAHID BABAIE INDUSTRIES,C,12524
M. BABAIE INDUSTRIES,SHAHID BABAIE INDUSTRIES COMPLEX,C,12524
M. BABAIE INDUSTRIES,SHAHID BABAII INDUSTRIES CO.,C,12524
ELLISSA EXCHANGE COMPANY,ELESSA EXCHANGE,C,12544
